"player_id","Name","Team","LiveScore","LiveTog","Playing","season_num","RoundID","score_column","PlayerIcon","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"CD_I1014599","Caitlin Gould","ADL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1014599","Caitlin Gould","ADL",70,95,1,9,2,"LIVE",0,1,11,2,6,3,6,1,2,0,2,95
"CD_I1005258","Eloise Jones","ADL",54,94,0,9,1,"LAST",0,1,4,0,0,8,0,1,1,2,0,94
"CD_I1005258","Eloise Jones","ADL",35,81,1,9,2,"LIVE",0,1,6,3,1,2,0,1,1,0,2,81
"CD_I1022224","Brooke Boileau","ADL",41,55,0,9,1,"LAST",0,1,5,1,1,5,0,0,0,0,1,55
"CD_I1022224","Brooke Boileau","ADL",41,63,1,9,2,"LIVE",0,1,4,3,2,4,0,0,0,0,1,63
"CD_I1014663","Zoe Prowse","ADL",50,93,0,9,1,"LAST",0,1,11,2,2,2,0,1,1,0,1,93
"CD_I1014663","Zoe Prowse","ADL",37,88,1,9,2,"LIVE",0,1,5,3,4,1,0,0,0,0,0,88
"CD_I1011091","Rachelle Martin","ADL",23,59,0,9,1,"LAST",0,1,2,2,1,3,0,1,1,0,0,59
"CD_I1011091","Rachelle Martin","ADL",37,62,1,9,2,"LIVE",0,1,2,3,0,7,0,0,1,0,0,62
"CD_I1011069","Hannah Munyard","ADL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1011069","Hannah Munyard","ADL",33,57,1,9,2,"LIVE",0,1,4,4,0,4,0,0,1,0,0,57
"CD_I1019456","Keeley Kustermann","ADL",39,61,0,9,1,"LAST",0,1,5,5,2,2,0,0,0,0,0,61
"CD_I1019456","Keeley Kustermann","ADL",48,75,1,9,2,"LIVE",0,1,7,6,2,2,0,1,0,0,0,75
"CD_I1014559","Najwa Allen","ADL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1014559","Najwa Allen","ADL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1005251","Deni Varnhagen","ADL",35,52,0,9,1,"LAST",0,1,6,3,2,2,0,0,1,0,0,52
"CD_I1005251","Deni Varnhagen","ADL",17,51,1,9,2,"LIVE",0,1,3,2,1,1,0,0,1,0,0,51
"CD_I1005279","Ebony Marinoff","ADL",121,94,0,9,1,"LAST",0,1,24,5,1,9,0,2,1,0,1,94
"CD_I1005279","Ebony Marinoff","ADL",191,94,1,9,2,"LIVE",0,1,26,5,7,19,0,3,1,1,0,94
"CD_I1022193","Sarah Goodwin","ADL",65,90,0,9,1,"LAST",0,1,9,5,4,4,0,0,0,0,0,90
"CD_I1022193","Sarah Goodwin","ADL",60,68,1,9,2,"LIVE",0,1,8,8,4,2,0,0,0,0,0,68
