"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","season_num","round_id"
"CD_I1022350","Cynthia Hamilton",100600,-1800,-600,4800,10200,14500,2024,9,1
"CD_I1022745","Ella Heads",134600,-4400,-5200,200,5500,9800,2024,9,1
"CD_I1024573","Kiara Hillier",40100,6400,9400,14800,20200,24400,2024,9,1
"CD_I1025789","Tanya Kennedy",116000,700,-1000,4300,9700,14000,2024,9,1
"CD_I1026016","Montana Beruldsen",52400,7600,8600,14000,19400,23700,2024,9,1
"CD_I1029616","Lauren Szigeti",85100,-2000,1000,6300,11700,16000,2024,9,1
"CD_I296148","Rebecca Privitelli",126200,-1200,-3000,2400,7800,12100,2024,9,1
"CD_I1005251","Deni Varnhagen",75200,-600,2700,8000,13400,17700,2024,9,1
"CD_I1005258","Eloise Jones",115500,-800,-1600,3700,9100,13400,2024,9,1
"CD_I1005269","Anne Hatchard",222800,5800,-9900,-4500,800,5100,2024,9,1
"CD_I1005279","Ebony Marinoff",270400,-3900,-19200,-13800,-8400,-4100,2024,9,1
"CD_I1005285","Sarah Allan",66900,6400,6600,12000,17400,21700,2024,9,1
"CD_I1005386","Stevie-Lee Thompson",99500,5300,2700,8100,13500,17800,2024,9,1
"CD_I1007313","Jessica Allan",119600,11200,3300,8600,14000,18300,2024,9,1
"CD_I1009794","Danielle Ponter",131000,-2500,-4000,1300,6700,11000,2024,9,1
"CD_I1011048","Jess Waterhouse",64100,-10100,-400,5000,10300,14600,2024,9,1
"CD_I1011080","Chelsea Biddell",114000,300,-1000,4400,9700,14000,2024,9,1
"CD_I1011091","Rachelle Martin",96000,-9100,-3300,2100,7400,11700,2024,9,1
"CD_I1011095","Madison Newman",142600,-6200,-6900,-1500,3900,8100,2024,9,1
"CD_I1014628","Taylah Levy",63900,1200,4600,10000,15300,19600,2024,9,1
"CD_I1014662","Kiera Mueller",80200,-2300,1400,6700,12100,16400,2024,9,1
"CD_I1014663","Zoe Prowse",90700,2300,2300,7700,13100,17400,2024,9,1
"CD_I1018874","Niamh Kelly",146200,-15000,-11200,-5800,-400,3900,2024,9,1
"CD_I1019431","Brooke Tonon",84500,-1200,1400,6800,12200,16500,2024,9,1
"CD_I1019456","Keeley Kustermann",42700,7100,9400,14800,20200,24500,2024,9,1
"CD_I1022193","Sarah Goodwin",86700,8900,5700,11000,16400,20700,2024,9,1
"CD_I1022224","Brooke Boileau",41100,8100,10100,15500,20800,25100,2024,9,1
"CD_I998044","Chelsea Randall",126000,-1600,-3100,2300,7700,11900,2024,9,1
"CD_I1005630","Ally Anderson",212000,5100,-9100,-3700,1700,6000,2024,9,1
"CD_I1005638","Kate Lutkins",51500,-2300,4400,9700,15100,19400,2024,9,1
"CD_I1005661","Breanna Koenen",120000,-12800,-7500,-2100,3300,7600,2024,9,1
"CD_I1007130","Shannon Campbell",89500,-2900,100,5500,10900,15200,2024,9,1
"CD_I1009824","Lily Postlethwaite",100300,4400,2200,7600,13000,17300,2024,9,1
"CD_I1009828","Jade Ellenger",128300,-100,-2700,2700,8100,12400,2024,9,1
"CD_I1009833","Isabel Dawes",153900,-4500,-7300,-1900,3500,7700,2024,9,1
"CD_I1009836","Natalie Grider",119100,-3400,-3200,2200,7600,11900,2024,9,1
"CD_I1009843","Ellie Hampson",76100,5800,5400,10800,16100,20400,2024,9,1
"CD_I1009844","Tahlia Hickie",133600,-8400,-6900,-1500,3800,8100,2024,9,1
"CD_I1009847","Sophie Conway",158800,400,-5600,-300,5100,9400,2024,9,1
"CD_I1009910","Courtney Hodder",119700,-800,-2100,3300,8700,13000,2024,9,1
