"Team","Last","LastOpp","Season","SeasonOpp","Giveup70","Giveup100","Top3Mid","Top3OppMid","TopRuc","TopOppRuc","Top2Def","Top2OppDef","Top2For","Top2OppFor","RoundID","season_num","year"
"WBD",813,1100,797,1098,3,1,78,88,71,61,40,63,31,52,3,9,2024
"WCE",1100,813,989,917,3,2,69,80,61,68,74,52,41,42,3,9,2024
"BRL",1162,895,1089,1003,4,1,87,82,55,47,60,51,59,63,3,9,2024
"COL",895,1162,931,1115,3,1,86,80,83,69,46,71,38,62,3,9,2024
"SYD",849,1113,975,1014,3,1,77,74,58,89,69,55,50,58,3,9,2024
"RIC",1113,849,991,916,3,1,74,75,75,73,55,70,56,46,3,9,2024
"CAR",1033,1015,990,1073,3,2,83,95,51,49,52,61,33,60,3,9,2024
"GEE",1015,1033,1021,1068,5,1,89,94,0,67,52,60,55,54,3,9,2024
"PTA",942,1041,930,1011,3,0,76,78,56,96,51,55,52,44,3,9,2024
"FRE",1041,942,1061,1060,4,2,69,96,108,69,59,52,71,51,3,9,2024
"ADL",1119,1016,1144,953,4,2,102,73,69,46,58,59,47,54,3,9,2024
"HAW",1016,1119,1089,1011,4,1,85,87,61,64,63,54,63,38,3,9,2024
"MEL",1022,1315,1020,1168,4,1,71,102,58,69,57,58,68,67,3,9,2024
"NTH",1315,1022,1187,996,5,3,108,84,69,48,68,47,72,57,3,9,2024
"ESS",930,1074,989,1078,4,2,82,74,89,81,58,66,39,68,3,9,2024
"STK",1074,930,1052,996,4,1,77,85,52,81,59,63,65,42,3,9,2024
"GWS",1034,924,1092,848,4,1,89,77,68,68,65,48,60,37,3,9,2024
"GCS",924,1034,1014,1035,4,1,100,79,58,56,59,61,44,51,3,9,2024
