RoundID,GameDateTime,HomeTeam,AwayTeam,status
0,2024-03-07T08:30:00.000+0000,SYD,MEL,SCHEDULED
0,2024-03-08T08:40:00.000+0000,BRL,CAR,SCHEDULED
0,2024-03-09T05:20:00.000+0000,GCS,RIC,SCHEDULED
0,2024-03-09T08:30:00.000+0000,GWS,COL,SCHEDULED
1,2024-03-14T08:30:00.000+0000,CAR,RIC,SCHEDULED
1,2024-03-15T08:40:00.000+0000,COL,SYD,SCHEDULED
1,2024-03-16T02:45:00.000+0000,ESS,HAW,SCHEDULED
1,2024-03-16T05:35:00.000+0000,GWS,NTH,SCHEDULED
1,2024-03-16T08:30:00.000+0000,GEE,STK,SCHEDULED
1,2024-03-16T09:10:00.000+0000,GCS,ADL,SCHEDULED
1,2024-03-17T02:00:00.000+0000,MEL,WBD,SCHEDULED
1,2024-03-17T05:00:00.000+0000,PTA,WCE,SCHEDULED
1,2024-03-17T07:50:00.000+0000,FRE,BRL,SCHEDULED
2,2024-03-21T08:30:00.000+0000,STK,COL,SCHEDULED
2,2024-03-22T08:40:00.000+0000,ADL,GEE,SCHEDULED
2,2024-03-23T02:45:00.000+0000,NTH,FRE,SCHEDULED
2,2024-03-23T05:35:00.000+0000,HAW,MEL,SCHEDULED
2,2024-03-23T08:30:00.000+0000,SYD,ESS,SCHEDULED
2,2024-03-24T02:00:00.000+0000,WBD,GCS,SCHEDULED
2,2024-03-24T05:00:00.000+0000,RIC,PTA,SCHEDULED
2,2024-03-24T07:50:00.000+0000,WCE,GWS,SCHEDULED
3,2024-03-28T08:30:00.000+0000,BRL,COL,SCHEDULED
3,2024-03-29T05:20:00.000+0000,NTH,CAR,SCHEDULED
3,2024-03-29T08:20:00.000+0000,FRE,ADL,SCHEDULED
3,2024-03-30T05:20:00.000+0000,ESS,STK,SCHEDULED
3,2024-03-30T08:30:00.000+0000,PTA,MEL,SCHEDULED
3,2024-03-31T02:00:00.000+0000,WBD,WCE,SCHEDULED
3,2024-03-31T05:00:00.000+0000,RIC,SYD,SCHEDULED
3,2024-04-01T04:20:00.000+0000,HAW,GEE,SCHEDULED
4,2024-04-04T08:40:00.000+0000,ADL,MEL,SCHEDULED
4,2024-04-05T06:10:00.000+0000,BRL,NTH,SCHEDULED
4,2024-04-05T09:10:00.000+0000,PTA,ESS,SCHEDULED
4,2024-04-06T02:30:00.000+0000,WCE,SYD,SCHEDULED
4,2024-04-06T05:20:00.000+0000,FRE,CAR,SCHEDULED
4,2024-04-06T09:10:00.000+0000,WBD,GEE,SCHEDULED
4,2024-04-07T02:30:00.000+0000,GCS,GWS,SCHEDULED
4,2024-04-07T05:20:00.000+0000,RIC,STK,SCHEDULED
4,2024-04-07T07:10:00.000+0000,COL,HAW,SCHEDULED
5,2024-04-11T09:30:00.000+0000,MEL,BRL,SCHEDULED
5,2024-04-12T09:40:00.000+0000,WBD,ESS,SCHEDULED
5,2024-04-13T03:45:00.000+0000,GWS,STK,SCHEDULED
5,2024-04-13T06:35:00.000+0000,CAR,ADL,SCHEDULED
5,2024-04-13T09:30:00.000+0000,GCS,HAW,SCHEDULED
5,2024-04-13T09:30:00.000+0000,PTA,FRE,SCHEDULED
5,2024-04-14T03:00:00.000+0000,GEE,NTH,SCHEDULED
5,2024-04-14T06:00:00.000+0000,WCE,RIC,SCHEDULED
6,2024-04-18T09:30:00.000+0000,STK,WBD,SCHEDULED
6,2024-04-19T09:40:00.000+0000,ADL,ESS,SCHEDULED
6,2024-04-20T03:45:00.000+0000,COL,PTA,SCHEDULED
6,2024-04-20T06:35:00.000+0000,CAR,GWS,SCHEDULED
6,2024-04-20T09:30:00.000+0000,BRL,GEE,SCHEDULED
6,2024-04-20T10:10:00.000+0000,WCE,FRE,SCHEDULED
6,2024-04-21T03:00:00.000+0000,SYD,GCS,SCHEDULED
6,2024-04-21T06:00:00.000+0000,NTH,HAW,SCHEDULED
7,2024-04-24T09:25:00.000+0000,RIC,MEL,SCHEDULED
7,2024-04-25T05:20:00.000+0000,ESS,COL,SCHEDULED
7,2024-04-25T09:30:00.000+0000,GWS,BRL,SCHEDULED
7,2024-04-26T09:40:00.000+0000,PTA,STK,SCHEDULED
7,2024-04-27T03:45:00.000+0000,NTH,ADL,SCHEDULED
7,2024-04-27T06:35:00.000+0000,GEE,CAR,SCHEDULED
7,2024-04-27T09:30:00.000+0000,FRE,WBD,SCHEDULED
7,2024-04-28T03:00:00.000+0000,GCS,WCE,SCHEDULED
7,2024-04-28T06:00:00.000+0000,HAW,SYD,SCHEDULED
8,2024-05-02T09:30:00.000+0000,ADL,PTA,SCHEDULED
8,2024-05-03T09:40:00.000+0000,CAR,COL,SCHEDULED
8,2024-05-04T03:45:00.000+0000,SYD,GWS,SCHEDULED
8,2024-05-04T06:35:00.000+0000,STK,NTH,SCHEDULED
