"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","round_id"
"CD_I1000068","Chris Burgess",22200,-300,1900,4000,6000,7700,2024,-1
"CD_I1000998","Lachlan Murphy",62500,-1000,-2000,100,2100,3800,2024,-1
"CD_I1001195","Izak Rankine",74200,-1100,-3100,-1000,1000,2600,2024,-1
"CD_I1004863","Mitchell Hinge",75700,-1100,-3200,-1200,900,2500,2024,-1
"CD_I1004995","Jordon Butts",33400,-500,900,2900,4900,6600,2024,-1
"CD_I1005199","Elliott Himmelberg",39800,-100,200,2300,4300,6000,2024,-1
"CD_I1006136","Lachlan Sholl",67800,-1000,-2500,-400,1600,3300,2024,-1
"CD_I1006203","Chayce Jones",67300,-1000,-2400,-400,1700,3300,2024,-1
"CD_I1008159","Will Hamill",27000,-2600,1500,3500,5600,7200,2024,-1
"CD_I1008185","Ned McHenry",44500,-600,-200,1800,3900,5500,2024,-1
"CD_I1008230","Nick Murray",39900,-600,200,2300,4300,6000,2024,-1
"CD_I1008384","Riley Thilthorpe",52900,-800,-1000,1000,3100,4700,2024,-1
"CD_I1008543","Harry Schoenberg",50700,-700,-800,1200,3300,4900,2024,-1
"CD_I1008752","Kieran Strachan",46600,-4500,-400,1600,3700,5300,2024,-1
"CD_I1009029","James Borlase",32000,100,1000,3000,5100,6700,2024,-1
"CD_I1011981","Josh Worrell",59100,-900,-1600,400,2500,4100,2024,-1
"CD_I1012218","Luke Pedlar",58200,-900,-1500,500,2500,4200,2024,-1
"CD_I1012807","Sam Berry",69200,-2700,-2600,-600,1500,3100,2024,-1
"CD_I1013153","Patrick Parnell",40600,-300,200,2200,4200,5900,2024,-1
"CD_I1013974","Mark Keane",43500,0,-100,1900,4000,5600,2024,-1
"CD_I1015329","Billy Dowling",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1015370","Max Michalanney",52400,-800,-1000,1100,3100,4700,2024,-1
"CD_I1017051","Josh Rachele",71900,-1100,-2900,-800,1200,2900,2024,-1
"CD_I1017065","Zac Taylor",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1017109","Jake Soligo",67600,-1000,-2500,-400,1600,3300,2024,-1
"CD_I1018075","Lachlan Gollant",43300,100,-100,1900,4000,5600,2024,-1
"CD_I1018335","Brayden Cook",46000,700,-400,1700,3700,5400,2024,-1
"CD_I1021031","Luke Nankervis",50600,200,-800,1200,3300,4900,2024,-1
"CD_I1023534","Hugh Bond",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1024023","Daniel Curtin",30900,-3000,1100,3100,5200,6800,2024,-1
"CD_I1027893","Oscar Ryan",24600,-2400,1700,3800,5800,7400,2024,-1
"CD_I1028671","Charlie Edwards",26600,-2600,1500,3600,5600,7200,2024,-1
"CD_I270963","Rory Sloane",74500,-1100,-3100,-1100,1000,2600,2024,-1
"CD_I280506","Taylor Walker",80400,-1200,-3700,-1600,400,2000,2024,-1
"CD_I291748","Brodie Smith",81400,-1300,-3800,-1700,300,1900,2024,-1
"CD_I293222","Rory Laird",109200,-1700,-6500,-4400,-2400,-800,2024,-1
"CD_I297401","Matt Crouch",81200,-600,-3800,-1700,300,2000,2024,-1
"CD_I297523","Reilly O'Brien",88400,-1400,-4500,-2400,-400,1300,2024,-1
"CD_I990882","Wayne Milera",71400,-1100,-2800,-800,1300,2900,2024,-1
"CD_I992242","Jordan Dawson",113400,-1700,-6900,-4800,-2800,-1200,2024,-1
"CD_I993946","Ben Keays",77300,-1200,-3400,-1300,700,2300,2024,-1
"CD_I999331","Darcy Fogarty",60400,-900,-1800,300,2300,4000,2024,-1
"CD_I1000932","Tom Doedee",55500,-800,-1300,800,2800,4400,2024,-1
