"Team","Last","LastOpp","Season","SeasonOpp","Giveup70","Giveup100","Top3Mid","Top3OppMid","TopRuc","TopOppRuc","Top2Def","Top2OppDef","Top2For","Top2OppFor","RoundID","season_num"
"COL",1506,1391,1469,1562,9,3,95,100,97,83,79,97,73,85,23,2024
"ESS",1558,1526,1605,1487,11,3,106,92,73,82,94,88,83,84,23,2024
"NTH",1341,1826,1496,1544,9,3,95,93,115,84,87,88,93,91,23,2024
"GCS",1343,1671,1476,1531,9,3,96,96,92,87,85,93,76,83,23,2024
"PTA",1512,1397,1568,1431,11,4,108,92,77,91,97,89,77,77,23,2024
"WBD",1826,1341,1592,1510,11,3,103,93,105,98,95,91,84,85,23,2024
"GEE",1410,1759,1524,1601,10,3,85,103,66,106,96,90,91,89,23,2024
"HAW",1715,1487,1523,1530,11,2,92,93,82,95,93,98,89,77,23,2024
"GWS",1659,1300,1577,1446,11,4,94,92,92,91,103,85,96,77,23,2024
"CAR",1708,1400,1555,1498,11,3,103,93,86,97,94,88,80,88,23,2024
"FRE",1300,1659,1546,1504,10,4,100,88,76,100,108,95,78,84,23,2024
"RIC",1487,1715,1388,1657,8,2,74,101,100,91,92,106,72,90,23,2024
"MEL",1671,1343,1506,1558,10,2,89,99,112,80,91,96,84,84,23,2024
"WCE",1400,1708,1366,1603,8,2,67,102,67,103,92,92,81,86,23,2024
"STK",1759,1410,1577,1558,10,4,96,93,117,90,102,99,76,83,23,2024
"SYD",1526,1558,1551,1489,10,3,101,95,98,83,86,91,94,81,23,2024
"BRL",1391,1506,1595,1454,10,4,107,93,85,88,79,85,90,79,23,2024
"ADL",1397,1512,1545,1499,10,3,104,98,90,89,85,89,86,83,23,2024
